                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 0.3715,                0.26166,                0.83611,                0.97634,                   0.75,                0.87846,                 0.5337,                      0,                    inf,                      0,              0.0015025,              0.0015025,              0.0015025
                    105,                0.36935,                0.25761,                 0.8398,                0.92635,                0.73994,                0.86838,                0.53514,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
                    106,                0.35416,                0.25107,                0.83453,                 0.9618,                   0.75,                0.87924,                0.52958,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                    107,                0.35424,                0.24841,                0.83746,                0.93081,                0.79134,                0.88764,                0.53416,                      0,                    inf,                      0,               0.001255,               0.001255,               0.001255
                    108,                0.34588,                0.24997,                0.83074,                0.92798,                0.79412,                0.88136,                0.52298,                      0,                    inf,                      0,              0.0011725,              0.0011725,              0.0011725
                    109,                0.33642,                0.24563,                0.84001,                0.91225,                0.79412,                0.87458,                 0.5121,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                    110,                0.29996,                0.21551,                0.80265,                0.87033,                0.78971,                0.86638,                0.50322,                      0,                    inf,                      0,              0.0010075,              0.0010075,              0.0010075
                    111,                0.27837,                  0.202,                0.79869,                 0.8569,                0.79412,                0.85364,                0.50249,                      0,                    inf,                      0,               0.000925,               0.000925,               0.000925
                    112,                 0.2749,                0.19935,                0.79539,                0.93188,                   0.75,                0.86263,                0.51721,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                    113,                0.28335,                0.20449,                0.80526,                0.92963,                0.77713,                0.86436,                0.52657,                      0,                    inf,                      0,                0.00076,                0.00076,                0.00076
                    114,                0.27639,                0.20028,                0.78701,                0.92602,                0.76471,                0.85804,                 0.5287,                      0,                    inf,                      0,              0.0006775,              0.0006775,              0.0006775
                    115,                0.27001,                0.19991,                0.80439,                0.92321,                0.76471,                0.86246,                0.53358,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                    116,                0.26382,                0.19234,                 0.8027,                0.94512,                 0.7599,                0.86068,                0.53213,                      0,                    inf,                      0,              0.0005125,              0.0005125,              0.0005125
                    117,                0.25763,                0.18949,                0.79729,                0.94536,                0.76329,                0.86032,                0.52569,                      0,                    inf,                      0,                0.00043,                0.00043,                0.00043
                    118,                0.25829,                0.18727,                0.78554,                0.94339,                0.76471,                0.86086,                0.53818,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
                    119,                0.24539,                0.18094,                 0.7895,                0.94269,                0.76471,                0.86223,                0.53664,                      0,                    inf,                      0,               0.000265,               0.000265,               0.000265
